22-rdf-syntax-ns#type_0;22-rdf-syntax-ns#type_1;22-rdf-syntax-ns#type_2;22-rdf-syntax-ns#type_3;22-rdf-syntax-ns#type_4;22-rdf-syntax-ns#type_5;22-rdf-syntax-ns#type_6;22-rdf-syntax-ns#type_7;alias_0;birthDate_0;birthDate_1;birthPlace_0;birthPlace_1;birthPlace_2;birthPlace_3;country_0;country_1;dateOfBirth_0;description_0;ethnicity_0;ethnicity_1;eyeColor_0;gender_0;givenName_0;hairColor_0;id_0;id_1;name_0;name_1;name_2;name_3;numberOfFilms_0;occupation_0;placeOfBirth_0;placeOfBirth_1;shortDescription_0;surname_0;weight_0
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;1961-04-20;1961-04-20;Croatia;Zagreb;Croatia;Zagreb;;;20;;;;;;Djuro;;;;Bago, Djuro;Djuro Bago;Djuro Bago;;;;Croatia;Zagreb;;Bago;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;Aarif Lee;1987-02-26;;Hong_Kong;Hong_Kong;;;China;People's_Republic_of_China;1987;;;;;;Aarif;;;;Aarif Rahman;Lee, Aarif;Aarif Lee;Aarif Rahman;;Actor;Hong_Kong;;;Lee;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;Kwok Fu-shing;1965-10-26;;Hong_Kong;Hong_Kong;;;China;People's_Republic_of_China;1965;;;;;;Aaron;;477209;;Aaron Kwok;Kwok, Aaron;Aaron Kwok;Guō Fùchéng;;Singer, Actor;Hong Kong;;;Kwok;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;1971-03-29;;Summit,_New_Jersey;Summit,_New_Jersey;;;;;1971;American pornographic actor;Irish/German-American;;Blue;male;Aaron;Brown;AaronLawrence;;Aaron Lawrence;Lawrence, Aaron;Aaron Lawrence;;;;Summit,_New_Jersey;;American pornographic actor;Lawrence;60.3288
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;Arron, Abu (阿布);1985-11-20;1985-11-20;Taiwan;Taipei, Taiwan;;;China;People's_Republic_of_China;1985-11-20;Taiwanese actor-singer;;;;;Aaron;;;;Aaron Yan;Yan, Aaron;Aaron Yan;Jim4 Aa3-leon4;;Actor;Taiwan;;Taiwanese actor-singer;Yan;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Gail Wezke, Gail Lawrence;;;New_York_City;United_States;New_York;New_York_City;;;;American pornographic actor;;;;female;Abigail;;776;Clayton;Abigail Clayton;Clayton, Abigail;Abigail Clayton;;35;;New_York_City;United_States;American pornographic actor;Clayton;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;;1978-07-18;1978-07-18;Argentina;La_Plata;Argentina;La_Plata;;;1978-07-18;Dancer & Vedette;Ukrainian and Spaniard;;;;Adabel;;;;Adabel Guerrero;Guerrero, Adabel;Adabel Guerrero;;;Actor;Argentina;La_Plata;Dancer & Vedette;Guerrero;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;;1947-02-04;1947-02-24;Hong_Kong;Hong_Kong;;;China;People's_Republic_of_China;1947-02-04;;;;;;Adam;;;;Adam Cheng;Cheng, Adam;Adam Cheng;Zeng6 Siu3 Cau1;;Actor;Hong_Kong;;;Cheng;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Adam Nola;1975-08-12;1975-08-12;West Hollywood, California, USA;;;;;;12;Pornographic actor;Caucasian;;Brown;male;Adam;Dark Brown;AdamKillian;;Adam Killian;Killian, Adam;Adam Killian;;;;West Hollywood, California, USA;;Pornographic actor;Killian;85.7304
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;;1983-03-08;1983-03-08;Singapore;Singapore;;;China;People's_Republic_of_China;8;Singaporean actress, singer, writer;;;;;Adele;;3044125;;Adele Wong;Wong, Adele;Adele Wong;Wáng Huìshān;;Actress, singer, writer, screenwriter;Singapore;;Singaporean actress, singer, writer;Wong;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Alana Moreno, Adrianna Sage, Adrian Sage, Alana, Lana;1980-04-16;1980-04-16;Mexico;Mexico;;;;;1980-04-16;Mexican American former pornographic actress and model;Mexican_people;Mexican_people;Brown;female;Adriana;Brown;24448;AlanaMoreno;Adriana Sage;Sage, Adriana;Adriana Sage;;90;;Mexico;;Mexican American former pornographic actress and model;Sage;56.7
