22-rdf-syntax-ns#type_0;22-rdf-syntax-ns#type_1;22-rdf-syntax-ns#type_2;22-rdf-syntax-ns#type_3;22-rdf-syntax-ns#type_4;22-rdf-syntax-ns#type_5;added_0;added_1;architect_0;architecture_0;area_0;caption_0;governingBody_0;latDegrees_0;latDirection_0;latMinutes_0;latSeconds_0;location_0;location_1;location_2;locmapin_0;longDegrees_0;longDirection_0;longMinutes_0;longSeconds_0;name_0;name_1;nrhpReferenceNumber_0;nrhpType_0;refnum_0;wgs84_pos#lat_0;wgs84_pos#long_0
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1978-07-14;1978;;;;;Private;41;N;29;58;Ohio;Sheffield_Lake,_Ohio;Ohio;Ohio;82;W;4;11;103;103rd Ohio Volunteer Infantry Association Barracks;78002115;;78002115;41.499563888888886;-82.06961111111112
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;owl#Thing;;;;;;;;Private;;;;;Bronx,_New_York;The_Bronx;Bronx,_New_York;New York City;;;;;1100;1100 Grand Concourse;;cp;;;
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;2004-09-17;;;;;;;;;;;;;;;;;;;116;116th Street--Columbia University Subway Station (IRT);04001020;;;40.808;-73.964
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;2003-12-23;2003-12-23;;;less than one acre;;Private;30;N;19;37;Florida;Jacksonville,_Florida;United_States;Florida;81;W;39;27;11;11 East Forsyth;03001310;;3001310;30.326944444444443;-81.6575
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1983-09-15;;;;;;;;;;;;;;;;;;;125;"IRT Broadway Line Viaduct (a.k.a.; Manhattan Valley Viaduct)";83001749;;;40.815;-73.958
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;2005-03-30;;;;;;;;;;;;;;;;;;;145;145th Street Subway Station (IRT);05000231;;;40.82;-73.936
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;2005-07-06;;;;;;;;;;;;;;;;;;;14;Union Square;05000671;;;40.734722222222224;-73.99027777777778
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1994-11-09;1994-11-09;;;;;;;;;;Roughly bounded by S, 12th, N and 15th Sts., NW.;;;District of Columbia;;;;;Greater Fourteenth Street Historic District;Greater Fourteenth Street Historic District;94000992;hd;94000992;38.88955555555555;-77.03194444444445
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;2005-07-27;;;;;;;;;;;;;;;;;;;15;15th Street - Prospect Park Subway Station (IND);05000748;;;40.66054444444445;-73.97998333333334
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;owl#Thing;;1978-08-25;1978-08-25;;;;Intersection of 16th and P Streets;;;;;;16;;;District of Columbia;;;;;Sixteenth Street Historic District;Sixteenth Street Historic District;78003060;hd;78003060;;
